Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2018-04-11,154.37,155.78,153.88,155.36,3209681.0,0.0,1.0,152.68903939520044,154.08368567068942,152.20437508669718,153.66825912054378,3209681.0
2018-04-10,155.03,156.605,154.75,155.39,3843752.0,0.0,1.0,153.34185254542933,154.8997021084755,153.0649015119989,153.69793244555416,3843752.0
2018-04-09,151.8,154.66,151.7433,152.69,4413178.0,0.0,1.0,150.14702455264253,152.97588153696768,150.09094196837287,151.02733319461785,4413178.0
2018-04-06,153.46,153.95,149.54,150.57,3672812.0,0.0,1.0,151.78894853655154,152.27361284505477,147.91163406852544,148.93041822721597,3672812.0
2018-04-05,154.44,154.92,153.34,154.03,3182133.0,0.0,1.0,152.75827715355805,153.2330503537245,151.67025523650992,152.35274171174922,3182133.0
2018-04-04,147.89,154.47,147.45,154.12,4804026.0,0.0,1.0,146.27960119295324,152.78795047856846,145.844392426134,152.4417616867804,4804026.0
2018-04-03,150.8,151.0,148.3,149.85,4135531.0,0.0,1.0,149.15791371896242,149.35573588569844,146.68513663476213,148.2182584269663,4135531.0
2018-04-02,153.34,153.38,148.43,150.07,5150435.0,0.0,1.0,151.67025523650992,151.70981966985713,146.81372104314053,148.4358628103759,5150435.0
2018-03-29,153.07,153.89,151.08,153.43,3419959.0,0.0,1.0,151.40319531141628,152.21426619503399,149.43486475239285,151.75927521154114,3419959.0
2018-03-28,152.07,153.86,151.89,152.52,3664826.0,0.0,1.0,150.41408447773617,152.1845928700236,150.23604452767373,150.85918435289224,3664826.0
2018-03-27,153.95,154.8697,151.16,151.91,3883745.0,0.0,1.0,152.27361284505477,153.1832980787904,149.51399361908724,150.25582674434733,3883745.0
2018-03-26,151.21,153.657,150.28,153.37,4103904.0,0.0,1.0,149.56344916077126,151.98380337078652,148.64357608544876,151.69992856152032,4103904.0
2018-03-23,152.25,152.58,148.541,148.89,4440883.0,0.0,1.0,150.59212442779858,150.91853100291303,146.923512345679,147.26871202663335,4440883.0
2018-03-22,155.0,155.2499,152.0,152.09,4746349.0,0.0,1.0,153.31217922041893,153.55935801775559,150.34484671937855,150.43386669440977,4746349.0
2018-03-21,156.57,158.2,155.92,156.69,3482184.0,0.0,1.0,154.86508322929672,156.47733388819532,154.22216118740462,154.98377652933831,3482184.0
2018-03-20,157.52,157.93,155.29,156.2,4336738.0,0.0,1.0,155.80473852129285,156.21027396310168,153.59902136218616,154.49911222083506,4336738.0
2018-03-19,159.71,159.8899,156.45,157.35,5481983.0,0.0,1.0,157.9708912470523,158.14883228603136,154.7463899292551,155.6365896795672,5481983.0
2018-03-16,160.06,161.98,159.64,160.26,9262656.0,0.0,1.0,158.31708003884034,160.21617283950616,157.90165348869468,158.51490220557636,9262656.0
2018-03-15,158.71,161.25,158.52,159.61,3870595.0,0.0,1.0,156.98178041337218,159.49412193091968,156.79384935497296,157.8719801636843,3870595.0
2018-03-14,160.17,160.68,157.74,158.12,3631825.0,0.0,1.0,158.42588223054514,158.93032875572203,156.02234290470247,156.3982050215009,3631825.0
2018-03-13,160.09,162.1122,158.81,159.32,4184890.0,0.0,1.0,158.34675336385075,160.3469332917187,157.0806914967402,157.58513802191703,4184890.0
2018-03-12,159.64,161.02,158.87,160.26,5063396.0,0.0,1.0,157.90165348869468,159.26662643917328,157.14003814676101,158.51490220557636,5063396.0
2018-03-09,157.47,159.5825,157.3,159.31,5022238.0,0.0,1.0,155.75528297960884,157.84477961575809,155.58713413788323,157.57524691358026,5022238.0
2018-03-08,159.0,159.57,155.07,156.21,6455612.0,0.0,1.0,157.26862255513942,157.8324157303371,153.3814169787765,154.5090033291719,6455612.0
2018-03-07,155.0,158.83,154.73,158.32,4607677.0,0.0,1.0,153.31217922041893,157.1004737134138,153.0451192953253,156.59602718823692,4607677.0
2018-03-06,157.28,157.89,155.1568,155.72,3594049.0,0.0,1.0,155.5673519212096,156.17070952975448,153.46727179913998,154.0243390206686,3594049.0
2018-03-05,154.12,157.49,153.75,156.95,3670630.0,0.0,1.0,152.4417616867804,155.77506519628244,152.07579067831878,155.24094534609515,3670630.0
2018-03-02,152.79,154.76,151.88,154.49,3261141.0,0.0,1.0,151.12624427798585,153.0747926203357,150.22615341933695,152.80773269524207,3261141.0
2018-03-01,155.53,156.9742,152.79,153.81,4039339.0,0.0,1.0,153.8364079622694,155.2648818282702,151.12624427798585,152.13513732833957,4039339.0
2018-02-28,157.5,158.1399,155.8,155.83,3803512.0,0.0,1.0,155.78495630461924,156.41788832709116,154.10346788736302,154.13314121237343,3803512.0
2018-02-27,158.46,159.78,156.53,156.55,4237283.0,0.0,1.0,156.73450270495215,158.0401290054099,154.8255187959495,154.8453010126231,4237283.0
2018-02-26,155.81,158.88,155.51,158.58,3610196.0,0.0,1.0,154.11335899569983,157.1499292550978,153.8166257455958,156.85319600499378,3610196.0
2018-02-23,154.3,155.855,154.07,155.52,3256074.0,0.0,1.0,152.61980163684285,154.15786898321542,152.3923061450964,153.8265168539326,3256074.0
2018-02-22,154.5,155.04,152.79,153.18,4024627.0,0.0,1.0,152.81762380357887,153.35174365376614,151.12624427798585,151.5119975031211,4024627.0
